,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
19214,10174,Kyle Ray Bennett,M,28.0,183.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX,
19578,10337,"Richard ""Ricky"" Berens",M,20.0,188.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
21223,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
21224,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
21225,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
21226,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
21227,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
21228,11207,Stephen Raj Bhavsar,M,27.0,169.0,54.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
21518,11358,Graham Porter Biehl,M,21.0,178.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,
22976,12078,James Riley Blake,M,28.0,185.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Singles,
22977,12078,James Riley Blake,M,28.0,185.0,83.0,United States-2,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Doubles,
23182,12196,Michael Benjamin Blatchford,M,22.0,178.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Sprint,
23183,12196,Michael Benjamin Blatchford,M,22.0,178.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,
25599,13372,"Carlos Austin Boozer, Jr.",M,26.0,206.0,117.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
26398,13739,"Christopher Wesson ""Chris"" Bosh",M,24.0,208.0,104.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
26862,13969,David Alasdair Boudia,M,19.0,175.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,
26863,13969,David Alasdair Boudia,M,19.0,175.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,
27631,14338,Micah Nathan Boyd,M,26.0,191.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
28013,14511,Michael Sheehan Bradley,M,21.0,185.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
28795,14912,Eli Bremer,M,30.0,183.0,76.0,United States,USA,2008 Summer,2008,Summer,Beijing,Modern Pentathlon,Modern Pentathlon Men's Individual,
29789,15372,Brandon Brooks,M,27.0,198.0,111.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
30146,15563,"Matthew Benjamin ""Matt"" Brown",M,25.0,182.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
30822,15880,"Robert Charles ""Bob"" Bryan",M,30.0,193.0,92.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Doubles,Bronze
30831,15882,"Michael Carl ""Mike"" Bryan",M,30.0,191.0,87.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Doubles,Bronze
30847,15891,Kobe Bean Bryant,M,29.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
33114,17050,Dremiel Deshon Byers,M,33.0,188.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
33508,17279,Trevor John Cahill,M,20.0,193.0,99.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
34306,17681,Andrew Campbell,M,24.0,183.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's One Person Dinghy,
34894,17985,Christian Cantwell,M,27.0,193.0,154.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,Silver
37514,19285,Henry Carlos Cejudo,M,21.0,165.0,55.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
42546,21947,Bryan Ezra Tsumoru Clay,M,28.0,180.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,Gold
42623,21990,Kerron Stephon Clement,M,22.0,188.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Silver
42624,21990,Kerron Stephon Clement,M,22.0,188.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
43741,22557,"Christopher ""Chris"" Colwill",M,23.0,178.0,76.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Springboard,
43742,22557,"Christopher ""Chris"" Colwill",M,23.0,178.0,76.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Springboard,
44629,22997,"Steven Coppola, Jr.",M,24.0,203.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
45823,23647,Adam Craig,M,16.0,180.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",
45981,23723,Shawn Crawford,M,30.0,181.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,Silver
46247,23868,Ian Lowell Crocker,M,25.0,193.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,
46248,23868,Ian Lowell Crocker,M,25.0,193.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
47143,24297,Jeremy Michael Cummings,M,31.0,188.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
47344,24411,Rafeeq Curry,M,24.0,185.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Triple Jump,
48456,24981,"Phillip Peter ""Phil"" Dalhausser",M,28.0,206.0,93.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
48628,25061,"William ""Will"" Daly",M,25.0,188.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,
48809,25155,"John Dane, III",M,58.0,191.0,99.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Keelboat,
49149,25311,"Thomas Curtis ""T. C."" Dantzler",M,37.0,180.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
49704,25611,"Charles Desmond ""Charlie"" Davies",M,22.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
50171,25815,"Michael ""Mike"" Day",M,23.0,191.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's BMX,Silver
52695,27059,"Jacob ""Jake"" Deitchler",M,18.0,173.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
56242,28811,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,Bronze
56243,28811,Walter Dix,M,22.0,175.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,Bronze
56645,29015,Ian Dobson,M,26.0,188.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",
57229,29321,Jason Thomas Donald,M,23.0,185.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
59376,30412,Brian Matthew Duensing,M,25.0,183.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
59632,30548,Troy Matthew Bek Dumais,M,28.0,168.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Springboard,
59939,30689,Philip Martin Dunn,M,37.0,175.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,
60376,30918,Phillip Peter Dutton,M,44.0,168.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
60377,30918,Phillip Peter Dutton,M,44.0,168.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
60411,30938,Jeremy Adam Duvendeck,M,26.0,180.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,
60902,31196,Kevin S. Eastler,M,30.0,185.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
61432,31464,"Edu Maurice ""Mo"" Edu",M,22.0,180.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
61894,31687,Casey Eichfeld,M,18.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",
63040,32316,"Walton Glenn Eller, III",M,26.0,188.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,Gold
63162,32384,Brady Lee Ellison,M,19.0,181.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,
63163,32384,Brady Lee Ellison,M,19.0,181.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,
63443,32517,"Matthew D. ""Matt"" Emmons",M,27.0,175.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
63444,32517,"Matthew D. ""Matt"" Emmons",M,27.0,175.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver
64208,32885,Bret E. Erickson,M,47.0,188.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Trap,
65118,33322,"Christopher ""Chris"" Estrada",M,25.0,168.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Trampolining,Trampolining Men's Individual,
65132,33333,Shawn Estrada,M,23.0,185.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Middleweight,
66333,33941,Anthony N. Famiglietti,M,29.0,173.0,57.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
66789,34168,Kendrick James Farris,M,22.0,168.0,94.0,United States,USA,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,
67436,34471,Benny Feilhaber,M,23.0,175.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
69463,35395,Thomas Finchum,M,18.0,185.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Platform,
69464,35395,Thomas Finchum,M,18.0,185.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,
71826,36553,William Dexter Fowler,M,22.0,198.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
71968,36618,"Thomas Bennett ""Benn"" Fraker",M,19.0,183.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",
73142,37186,"Michael ""Mike"" Friedman",M,25.0,175.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,
75080,38095,John Christopher Gall,M,30.0,183.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
75553,38353,Mark Daniel Gangloff,M,26.0,183.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,
75554,38353,Mark Daniel Gangloff,M,26.0,183.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
76392,38762,"Gabriel Bryan ""Gabe"" Gardner",M,32.0,209.0,103.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
77037,39092,Scott Hunter Gault,M,25.0,196.0,94.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,
77219,39191,Tyson Lashane Gay,M,25.0,181.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,
77220,39191,Tyson Lashane Gay,M,25.0,181.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,
79030,40132,"Jacob Spiker ""Jake"" Gibb",M,32.0,201.0,95.0,United States-2,USA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,
79602,40435,"Robert Louis ""Robby"" Ginepri",M,25.0,188.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Tennis,Tennis Men's Singles,
83721,42560,Dominic P. Grazioli,M,44.0,191.0,113.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Trap,
84009,42695,Edward Ray Breaux Greer,M,31.0,188.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
84265,42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
84266,42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Silver
84267,42803,"Matthew ""Matt"" Grevers",M,23.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
87283,44252,"Bradley Edwin ""Brad"" Guzan",M,23.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
88195,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
88196,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
88197,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
88198,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
88199,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,
88200,44726,"Joseph ""Joey"" Hagerty",M,26.0,163.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
88806,45031,Ryan Hall,M,25.0,180.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Marathon,
89843,45525,Vincent Hancock,M,19.0,173.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Skeet,Gold
90164,45684,Brendan Joseph Hansen,M,26.0,183.0,85.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Breaststroke,
90165,45684,Brendan Joseph Hansen,M,26.0,183.0,85.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
90302,45765,Kevin Christopher Hansen,M,26.0,196.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
90734,45967,"James Edward ""Trey"" Hardee, III",M,24.0,196.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Decathlon,
91385,46332,"Jeffrey Stewart ""Jeff"" Hartwig",M,40.0,190.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Pole Vault,
92590,46910,"Michael Gannon ""Mike"" Hazle",M,29.0,183.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
95334,48276,"Michael Steven ""Mike"" Hessman",M,30.0,196.0,107.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
96111,48663,George Anthony Hincapie Garcs,M,35.0,183.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
97005,49108,"Thomas John ""Tom"" Hoff",M,35.0,198.0,94.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
97007,49109,Michael Reese Hoffa,M,30.0,182.0,147.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,
97430,49317,Stuart Alistair Holden,M,23.0,178.0,72.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
97491,49345,"Jeffrey G. ""Jeff"" Holguin",M,29.0,175.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,Shooting Men's Double Trap,
98448,49826,Beau Hoopman,M,27.0,193.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
98884,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
98885,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
98886,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
98887,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
98888,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
98889,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
98890,50052,Jonathan Alan Horton,M,22.0,155.0,59.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,
99349,50288,Elliot Meyer Hovey,M,25.0,185.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,
99392,50311,Dwight David Howard,M,22.0,211.0,120.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
99773,50490,Andy Hrovat,M,28.0,178.0,84.0,United States,USA,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",
100420,50788,Peter Hudnut,M,28.0,196.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
100620,50878,"Matthew ""Matt"" Hughes",M,26.0,185.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,
101447,51304,"Timothy Julien ""Tim"" Hutten",M,23.0,196.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
103105,52164,"Joshua ""Josh"" Inman",M,28.0,203.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Bronze
104896,53094,Bershawn D. Jackson,M,25.0,173.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,Bronze
105759,53494,LeBron Raymone James,M,23.0,203.0,114.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
107633,54409,Larsen Alan Jensen,M,22.0,185.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Freestyle,Bronze
107634,54409,Larsen Alan Jensen,M,22.0,185.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,"Swimming Men's 1,500 metres Freestyle",
108030,54619,Kevin Martin Jepsen,M,24.0,190.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
109456,55338,Brian Johnson,M,28.0,196.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Long Jump,
109466,55340,"Richard Andrew ""Butch"" Johnson",M,52.0,191.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Individual,
109467,55340,"Richard Andrew ""Butch"" Johnson",M,52.0,191.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Archery,Archery Men's Team,
109940,55590,"Dustin Michael ""Dusty"" Jonas",M,22.0,193.0,82.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,
110045,55640,Cullen Andrew Jones,M,24.0,195.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
111470,56401,"Kenneth ""Ken"" Jurkowski",M,26.0,188.0,95.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Single Sculls,
115522,58521,Klete D. Keller,M,26.0,198.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
115681,58607,Weston Seth Kelsey,M,26.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",
115775,58654,Hunter Craig Kemper,M,32.0,191.0,74.0,United States,USA,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,
117709,59569,Jason Frederick Kidd,M,35.0,193.0,96.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
121287,61323,Sacha Bryan Kljestan,M,22.0,185.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
121622,61496,Brandon Michael Knight,M,32.0,183.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
124064,62674,"Michael Paul ""Mike"" Koplove",M,31.0,178.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
127597,64316,"Alfred George ""A. G."" Kruger",M,29.0,193.0,125.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Hammer Throw,
127699,64375,"James W. ""J. W."" Krumpholz",M,20.0,191.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
130808,65854,Bernard Kipchirchir Lagat,M,33.0,173.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
130809,65854,Bernard Kipchirchir Lagat,M,33.0,173.0,58.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",
131488,66177,"Richard Edward ""Rich"" Lambourne",M,33.0,190.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
132303,66589,Giuseppe Lanzone,M,25.0,193.0,97.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Fours,
132375,66628,"Matthew Vincent ""Matt"" LaPorta",M,23.0,188.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
134184,67558,"Robert ""Bobby"" Lea",M,24.0,188.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Points Race,
134185,67558,"Robert ""Bobby"" Lea",M,24.0,188.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Madison,
134823,67839,David Cameron Lee,M,26.0,203.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
136211,68510,Levi Leipheimer,M,34.0,173.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",
136212,68510,Levi Leipheimer,M,34.0,173.0,62.0,United States,USA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Individual Time Trial,Bronze
137864,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,Bronze
137865,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
137866,69288,Jason Edward Lezak,M,32.0,193.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
141427,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
141428,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Backstroke,Gold
141429,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
141430,70965,Ryan Steven Lochte,M,24.0,188.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 400 metres Individual Medley,Bronze
141867,71169,Lopez (Lopepe-) Lomong,M,23.0,180.0,69.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",
142365,71428,Mark Anthony Lopez,M,26.0,183.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver
142442,71467,Steven Lopez,M,29.0,191.0,83.0,United States,USA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Bronze
142971,71744,"John Clay Lovell, III",M,40.0,170.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,
