,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
220803,110900,"William ""Will"" Simpson",M,49.0,173.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
223128,112064,Keeth Thomas Smart,M,30.0,183.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",
223129,112064,Keeth Thomas Smart,M,30.0,183.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Silver
223439,112215,Christian Smith,M,24.0,188.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,
223595,112302,Jesse Aaron Smith,M,25.0,194.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
223659,112336,Leigh Smith,M,26.0,198.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Javelin Throw,
226149,113665,"Scott Spann, Jr.",M,20.0,185.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Breaststroke,
226254,113712,"Wallace Spearmon, Jr.",M,23.0,191.0,78.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 200 metres,
226468,113815,Austin Sperry,M,30.0,185.0,102.0,United States,USA,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Keelboat,
226819,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Individual All-Around,
226820,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,Bronze
226821,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Floor Exercise,
226822,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,
226823,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Horizontal Bar,
226824,113975,Justin Edward Spring,M,24.0,170.0,64.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,
227602,114352,"Clayton Iona ""Clay"" Stanley",M,30.0,205.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Gold
229188,115078,"Jeffrey Allen ""Jeff"" Stevens",M,24.0,188.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
229225,115095,Travis Stevens,M,22.0,181.0,80.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,
229575,115272,Sam Stitt,M,26.0,198.0,91.0,United States,USA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,
230180,115547,"William Gilbert ""Gil"" Stovall",M,22.0,175.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,
230446,115665,Stephen James Strasburg,M,20.0,196.0,98.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
233776,117246,"Nicholas ""Nick"" Symmonds",M,24.0,178.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,
234097,117402,Daryl Lee Szarenski,M,40.0,180.0,93.0,United States,USA,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Free Pistol, 50 metres",
234301,117507,"Daniel Gregory ""Danny"" Szetela",M,21.0,180.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,
235306,117996,Taylor Takata,M,26.0,165.0,68.0,United States,USA,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
