
# Surface 0 of 1 surfaces

# Curve title: "'../../data/z.txt' matrix"

# Contour 0, label:        1
 56.7434  93  0.5 
 56  92.6759  0.5 
 55  92.1493  0.5 
 54.7578  92  0.5 
 54  91.5071  0.5 
 53.3324  91  0.5 
 53  90.7303  0.5 
 52.2184  90  0.5 
 52  89.7791  0.5 
 51.3236  89  0.5 
 51  88.5899  0.5 
 50.5873  88  0.5 
 50  87.0589  0.5 
 49.9672  87  0.5 
 49.4612  86  0.5 
 49.0208  85  0.5 
 49  84.9479  0.5 
 48.6601  84  0.5 
 48.3465  83  0.5 
 48.0708  82  0.5 
 48  81.7183  0.5 
 47.837  81  0.5 
 47.6317  80  0.5 
 47.4451  79  0.5 
 47.2727  78  0.5 
 47.1108  77  0.5 
 47  76.288  0.5 
 46.9594  76  0.5 
 46.8206  75  0.5 
 46.6865  74  0.5 
 46.5567  73  0.5 
 46.4312  72  0.5 
 46.3109  71  0.5 
 46.1973  70  0.5 
 46.092  69  0.5 
 46  68.0296  0.5 
 45.9974  68  0.5 
 45.9204  67  0.5 
 45.8582  66  0.5 
 45.8136  65  0.5 
 45.7898  64  0.5 
 45.7899  63  0.5 
 45.8177  62  0.5 
 45.8772  61  0.5 
 45.9728  60  0.5 
 46  59.7983  0.5 
 46.1166  59  0.5 
 46.3124  58  0.5 
 46.5662  57  0.5 
 46.8871  56  0.5 
 47  55.7078  0.5 
 47.3092  55  0.5 
 47.8409  54  0.5 
 48  53.7444  0.5 
 48.5425  53  0.5 
 49  52.4627  0.5 
 49.4758  52  0.5 
 50  51.5503  0.5 
 50.8037  51  0.5 
 51  50.8783  0.5 
 52  50.3847  0.5 
 53  50.0173  0.5 
 53.0626  50  0.5 
 54  49.7564  0.5 
 55  49.5771  0.5 
 56  49.4655  0.5 
 57  49.4111  0.5 
 58  49.4064  0.5 
 59  49.4458  0.5 
 60  49.5256  0.5 
 61  49.6434  0.5 
 62  49.7985  0.5 
 63  49.9908  0.5 
 63.0406  50  0.5 
 64  50.2261  0.5 
 65  50.5024  0.5 
 66  50.8215  0.5 
 66.4975  51  0.5 
 67  51.1926  0.5 
 68  51.6193  0.5 
 68.8044  52  0.5 
 69  52.1015  0.5 
 70  52.6582  0.5 
 70.5736  53  0.5 
 71  53.2861  0.5 
 72  53.9896  0.5 
 72.0148  54  0.5 
 73  54.8043  0.5 
 73.2422  55  0.5 
 74  55.7255  0.5 
 74.3016  56  0.5 
 75  56.7734  0.5 
 75.226  57  0.5 


# Contour 2, label:        0
 98  15.4158  0 
 98.2222  15  0 
 98.668  14  0 
 99  13.1562  0 
 99.088  13  0 
 99.5377  12  0 
 99.9435  11  0 
 100  10.8228  0 
 100.387  10  0 
 100.797  9  0 
 101  8.42  0 
 101.219  8  0 
 101.637  7  0 
 102  6.03333  0 
 102.019  6  0 
 102.465  5  0 
 102.833  4  0 
 103  3.5  0 
 103.261  3  0 
 103.651  2  0 
 104  1.03499  0 
 104.021  1  0 
 104.454  0  0 

 41.5593  49  0 
 41.8537  48  0 
 42  47.5636  0 
 42.2129  47  0 
 42.6532  46  0 
 43  45.3287  0 
 43.2008  45  0 
 43.9005  44  0 
 44  43.8707  0 
 44.8468  43  0 
 45  42.8561  0 
 46  42.1383  0 
 46.2644  42  0 
 47  41.6251  0 
 48  41.2774  0 
 49  41.0564  0 
 49.4212  41  0 
 50  40.9197  0 
 51  40.8543  0 
 52  40.8488  0 
 53  40.8896  0 
 54  40.9666  0 
 54.3109  41  0 
 55  41.0643  0 
 56  41.1781  0 
 57  41.3073  0 
 58  41.4483  0 
 59  41.5987  0 
 60  41.7567  0 
 61  41.9211  0 
 61.4656  42  0 
 62  42.0826  0 
 63  42.2417  0 
 64  42.4058  0 
 65  42.5751  0 
 66  42.7498  0 
 67  42.9297  0 
 67.3899  43  0 
 68  43.1045  0 
 69  43.2757  0 
 70  43.4461  0 
 71  43.6114  0 
 72  43.765  0 
 73  43.898  0 
 74  43.999  0 
 74.0193  44  0 
 75  44.0501  0 
 76  44.0431  0 
 76.5437  44  0 
 77  43.9591  0 
 78  43.7759  0 
 79  43.4836  0 
 80  43.0755  0 
 80.148  43  0 
 81  42.5147  0 
 81.7647  42  0 
 82  41.8227  0 
 82.9869  41  0 
 83  40.9878  0 
 84  40.0034  0 
 84.0033  40  0 
 84.8987  39  0 
 85  38.8737  0 
 85.7144  38  0 
 86  37.6117  0 
 86.472  37  0 
 87  36.2428  0 
 87.1823  36  0 
 87.8562  35  0 
 88  34.7598  0 
 88.505  34  0 
 89  33.1781  0 
 89.1218  33  0 
 89.7245  32  0 
 90  31.489  0 
 90.3073  31  0 
 90.8687  30  0 
 91  29.7314  0 
 91.4274  29  0 
 91.9561  28  0 
 92  27.9023  0 
 92.4962  27  0 
 92.9993  26  0 
 93  25.9983  0 
 93.5239  25  0 
 94  24.0127  0 
 94.0078  24  0 
 94.5172  23  0 
 94.9849  22  0 
 95  21.9605  0 
 95.4809  21  0 
 95.9374  20  0 
 96  19.8331  0 
 96.4186  19  0 
 96.8675  18  0 
 97  17.6461  0 
 97.3315  17  0 
 97.7771  16  0 
 98  15.4158  0 

 21.9973  127  0 
 22  126.995  0 
 22.3266  126  0 
 22.6946  125  0 
